Value,LCChange
1,Water
2,Emergent Wetlands
3,Tree Canopy
4,Scrub\Shrub
5,Low Vegetation
6,Barren
7,Impervious Structures
8,Other Impervious
9,Impervious Roads
10,Tree Canopy Over Structures
11,Tree Canopy Over Other Impervious
12,Tree Canopy Over Impervious Roads
13,Water to Tree Canopy
14,Water to Scrub\Shrub
15,Water to Low Vegetation
16,Water to Barren
17,Water to Impervious Structures
18,Water to Other Impervious
19,Water to Impervious Roads
21,Emergent Wetlands to Water
23,Emergent Wetlands to Tree Canopy
25,Emergent Wetlands to Low Vegetation
26,Emergent Wetlands to Barren
27,Emergent Wetlands to Impervious Structures
28,Emergent Wetlands to Other Impervious
29,Emergent Wetlands to Impervious Roads
31,Tree Canopy to Water
35,Tree Canopy to Low Vegetation
36,Tree Canopy to Barren
37,Tree Canopy to Impervious Structures
38,Tree Canopy to Other Impervious
39,Tree Canopy to Impervious Roads
41,Scrub\Shrub to Water
43,Scrub\Shrub to Tree Canopy
45,Scrub\Shrub to Low Vegetation
46,Scrub\Shrub to Barren
47,Scrub\Shrub to Impervious Structures
48,Scrub\Shrub to Other Impervious
49,Scrub\Shrub to Impervious Roads
51,Low Vegetation to Water
53,Low Vegetation to Tree Canopy
54,Low Vegetation to Scrub\Shrub
56,Low Vegetation to Barren
57,Low Vegetation to Impervious Structures
58,Low Vegetation to Other Impervious
59,Low Vegetation to Impervious Roads
61,Barren to Water
63,Barren to Tree Canopy
65,Barren to Low Vegetation
67,Barren to Impervious Structures
68,Barren to Other Impervious
69,Barren to Impervious Roads
71,Impervious Structures to Water
73,Impervious Structures to Tree Canopy
75,Impervious Structures to Low Vegetation
76,Impervious Structures to Barren
78,Impervious Structures to Other Impervious
79,Impervous Structures to Impervious Roads
81,Other Impervious to Water
83,Other Impervious to Tree Canopy
85,Other Impervious to Low Vegetation
86,Other Impervious to Barren
87,Other Impervious to Impervious Structures
89,Other Impervious to Impervious Roads
91,Impervious Roads to Water
93,Impervious Roads to Tree Canopy
95,Impervious Roads to Low Vegetation
96,Impervious Roads to Barren
97,Impervious Roads to Impervious Structures
98,Impervious Roads to Other Impervious
101,Tree Canopy Over Impervious Structures to Water
105,Tree Canopy Over Impervious Structures to Low Vegetation
106,Tree Canopy Over Impervious Structures to Barren
107,Tree Canopy Over Impervious Structures to Impervious Structures
108,Tree Canopy Over Impervious Structures to Other Impervious
109,Tree Canopy Over Impervious Structures to Impervious Roads
111,Tree Canopy Over Other Impervious to Water
115,Tree Canopy Over Other Impervious to Low Vegetation
116,Tree Canopy Over Other Impervious to Barren
117,Tree Canopy Over Other Impervious to Impervious Structures
118,Tree Canopy Over Other Impervious to Other Impervious
119,Tree Canopy Over Other Impervious to Impervious Roads
121,Tree Canopy Over Impervious Roads to Water
125,Tree Canopy Over Impervious Roads to Low Vegetation
126,Tree Canopy Over Impervious Roads to Barren
127,Tree Canopy Over Impervious Roads to Impervious Structures
128,Tree Canopy Over Impervious Roads to Other Impervious
129,Tree Canopy Over Impervious Roads to Impervious Roads
210,Impervious Structures to Tree Canopy Over Impervious Structures
211,Other Impervious to Tree Canopy Over Other Impervious
212,Impervious Roads to Tree Canopy Over Impervious Roads
254,Aberdeen Proving Ground
